Inc,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
0,1,1,1,1,1,1,1,1,1,1,1,1
5,1.07,1.06,1.04,1.03,1.01,1.01,1.02,1.03,1.05,1.07,1.08,1.08
10,1.13,1.1,1.08,1.05,1.02,1.01,1.02,1.05,1.09,1.13,1.16,1.15
15,1.18,1.15,1.1,1.06,1.02,1.01,1.02,1.06,1.12,1.19,1.23,1.22
20,1.23,1.18,1.12,1.06,1.02,1,1.02,1.07,1.15,1.23,1.29,1.28
25,1.27,1.21,1.14,1.06,1,.98,1,1.07,1.16,1.27,1.34,1.33
30,1.3,1.23,1.14,1.05,.98,.96,.98,1.06,1.17,1.3,1.38,1.37
35,1.33,1.24,1.14,1.03,.96,.93,.96,1.04,1.17,1.32,1.42,1.41
40,1.35,1.25,1.13,1.01,.92,.89,.92,1.02,1.17,1.34,1.44,1.43
45,1.35,1.25,1.11,.98,.88,.85,.88,.99,1.15,1.34,1.46,1.45
50,1.35,1.24,1.09,.94,.84,.8,.84,.95,1.13,1.33,1.47,1.46
55,1.35,1.22,1.06,.9,.78,.74,.78,.91,1.1,1.32,1.47,1.45
60,1.33,1.19,1.02,.85,.73,.68,.73,.86,1.06,1.3,1.45,1.44
65,1.31,1.16,.98,.8,.67,.62,.66,.8,1.02,1.26,1.43,1.42
70,1.27,1.12,.93,.74,.6,.55,.6,.74,.9,1.22,1.4,1.4
75,1.23,1.07,.87,.67,.53,.48,.53,.68,.91,1.17,1.36,1.36
80,1.19,1.02,.81,.6,.46,.4,.45,.6,.84,1.12,1.31,1.31
85,1.13,.96,.74,.53,.38,.32,.38,.53,.77,1.05,1.26,1.26
90,1.07,.89,.67,.46,.3,.25,.3,.45,.7,.98,1.19,1.2
